all_game_titles,all_game_dates,all_game_scores,all_game_user_ratings,video_num,total_views,total_likes,total_dislikes,total_favorites,total_comments
The Orange Box,2007-10-10,96,9.3,4,1712,25,1,0,6
BioShock,2007-08-21,96,8.5,29,694556,14025,131,0,2612
Call of Duty 4: Modern Warfare,2007-11-05,92,8.5,45,5905392,80654,2789,0,12000
Crysis,2007-11-13,91,8,44,1404677,10115,251,0,2420
World of Warcraft: The Burning Crusade,2007-01-16,91,7.9,36,1068123,6903,86,0,1441
Half-Life 2: Episode Two,2007-10-10,90,9.2,44,181680,3268,128,0,436
World in Conflict,2007-09-18,89,8.1,41,141580,1150,26,0,315
Company of Heroes: Opposing Fronts,2007-09-24,87,8.6,47,357129,2655,72,0,775
Gears of War,2007-11-06,87,7.8,36,454312,4327,156,0,802
Supreme Commander,2007-02-20,86,8.3,48,317830,2759,154,0,965
Sid Meier's Civilization IV: Beyond the Sword,2007-07-23,86,8.6,40,134033,1002,55,0,310
The Lord of the Rings Online: Shadows of Angmar,2007-04-24,86,8.1,26,244791,664,41,0,417
IL-2 Sturmovik: 1946,2007-03-13,86,8.8,23,108453,1477,38,0,594
The Elder Scrolls IV: Shivering Isles,2007-03-26,86,8.4,37,1218750,21342,550,0,19740
Command & Conquer 3: Tiberium Wars,2007-03-26,85,8,9,880589,4788,310,0,699
Medieval II: Total War Kingdoms,2007-08-28,85,8.8,33,1571841,12244,283,0,3538
Puzzle Quest: Challenge of the Warlords,2007-10-10,84,8.3,27,153151,302,47,0,63
DiRT,2007-06-19,84,7.3,4,411251,1430,34,0,106
Enemy Territory: Quake Wars,2007-10-02,84,8.3,1,808,3,0,0,0
Unreal Tournament III,2007-11-19,83,8,35,2156511,12229,264,0,4134
Tomb Raider: Anniversary,2007-06-05,83,8,48,1864078,13611,386,0,2968
RACE 07: Official WTCC Game,2007-10-09,83,9,1,175,3,0,0,0
EverQuest II: Rise of Kunark,2007-11-13,83,7.9,4,2547,43,0,0,21
Europa Universalis III,2007-01-23,83,8.4,37,112559,1657,26,0,586
Sam & Max Episode 105: Reality 2.0,2007-03-29,82,8.4,9,3251696,2445,916,0,422
Neverwinter Nights 2: Mask of The Betrayer,2007-10-09,82,8.8,36,76026,537,18,0,170
Aquaria,2007-12-07,82,8.3,41,4752889,10607,1126,0,1070
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-20,82,8.4,49,1252513,36457,338,0,4029
Sam & Max Episode 201: Ice Station Santa,2007-11-08,82,8.5,5,5751165,3879,1750,0,449
Flight Simulator X: Acceleration,2007-10-23,82,7.3,25,296359,2602,197,0,791
Supreme Commander: Forged Alliance,2007-11-06,81,8.9,48,138262,1763,63,0,784
The Witcher,2007-10-30,81,8.8,40,3898927,37240,358,0,4970
Jade Empire: Special Edition,2007-02-26,81,8.2,50,394419,1622,122,0,727
Overlord,2007-06-26,81,8.1,4,1005356,8492,160,0,1265
Age of Empires III: The Asian Dynasties,2007-10-23,81,8.5,13,173536,689,33,0,123
Sam & Max Episode 104: Abe Lincoln Must Die!,2007-02-22,80,7.7,5,5751165,3879,1750,0,449
Titan Quest: Immortal Throne,2007-03-05,80,8.7,20,26204,232,7,0,75
Test Drive Unlimited,2007-03-20,79,8.2,49,1320469,13913,564,0,2205
Silent Hunter: Wolves of the Pacific,2007-03-20,79,7.1,44,235600,2234,86,0,742
Sword of the Stars: Born of Blood,2007-06-05,79,8.1,4,97827,1340,15,0,80
Sam & Max Episode 106: Bright Side of the Moon,2007-04-26,79,7.3,5,5751165,3879,1750,0,449
Guitar Hero III: Legends of Rock,2007-11-13,79,7.2,8,21901037,142230,3289,0,7777
Shadowgrounds Survivor,2007-12-06,79,7.8,5,2435,18,0,0,3
Guild Wars: Eye of the North,2007-08-28,79,8.6,39,1468715,10979,115,0,3163
Nancy Drew: Legend of the Crystal Skull,2007-10-08,79,8.3,42,91502,1267,9,0,940
The Sims 2 Seasons,2007-02-27,78,7.3,13,2256371,19389,702,0,5148
Viva Pinata,2007-11-06,78,7.8,47,1028716,25453,425,0,5172
Medal of Honor: Airborne,2007-09-04,78,7.3,50,2013249,10993,393,0,3338
Tabula Rasa,2007-10-30,78,8,1,24546,850,10,0,108
Universe at War: Earth Assault,2007-12-10,77,8.5,31,31872,343,7,0,83
FIFA Soccer 08,2007-10-09,77,6.1,4,375173,7005,898,0,1021
Stranglehold,2007-09-18,77,7.4,3,1441,21,0,0,6
Battlefield 2142: Northern Strike,2007-03-08,77,8.9,38,31636,424,33,0,191
Battlestations: Midway,2007-01-30,76,7.3,45,763826,5266,634,0,1132
Tom Clancy's Ghost Recon Advanced Warfighter 2,2007-07-17,76,7.2,38,112207,836,40,0,206
Geometry Wars: Retro Evolved,2007-03-07,76,8.8,48,274778,6669,239,0,986
Resident Evil 4,2007-05-15,76,7.4,34,2344369,18502,658,0,4495
