optimal_titles,videoID,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Out of the Park Baseball (OOTP) 17: Boston Red Sox - Season 1 Episode 3 2016 ALDS,T6byxT4MlUY,6338,110,2,0,"""44"""
DISAPPOINTING LOSS | OUT OF THE PARK BASEBALL 17 [2 of 2],SE_iBkS8Smo,339,NA,NA,0,"""3"""
Out of the Park Baseball (OOTP) 15: Houston Astros Career - Another Season Wasted? [EP6],ODlEnHjk43Q,3030,77,5,0,"""15"""
Out of the Park Baseball (OOTP) 16: Montreal Expos 2004 Playthrough [EP14],MaC180QMPtE,2045,42,1,0,"""16"""
Out of the Park Baseball 16 - Orioles - Drafting the Picks (6),cSvr51jpeqU,127,0,0,0,"""0"""
Out of the Park Baseball (OOTP) 15: Portland Mavericks Expansion Team [EP11],SsYo0E_NvPg,2770,73,4,0,"""24"""
Out of the Park Baseball (OOTP) 15: Houston Astros Career - 2018 ALDS [EP12],Di5O2K5YzcQ,2042,64,2,0,"""17"""
Out of the Park Baseball (OOTP) 15: Portland Mavericks Expansion Team,v-RnQdzIsJQ,1467,34,0,0,"""6"""
Out of the Park Baseball (OOTP) 15: Houston Astros Career - 2018 ALCS,zv7XIwWrLPQ,2362,76,1,0,"""20"""
Out of the Park Baseball 14 - 2013 Tigers Playoffs #2,hr5avEV44lM,63,0,0,0,"""0"""
OOTP Baseball 17! (Seattle Mariners) || BEST OPENING DAY GAME EVER?! || #1 [S1G1],up5Ie6Zmay8,83,NA,NA,0,"""0"""
OOTP Baseball 2017 Replay 1986 Season Game Astros vs Mets,hk5ejYIyBdc,72,0,0,0,"""0"""
2015-2016 Draw Results: Super Mega Baseball: Extra Innings. PC Gameplay commentary,rGn1FaFNQaU,273,14,0,0,"""32"""
